Site Number;Site Portfolio;Asset Status;State;City;Address;Latitude Decimal;Longitude Decimal;Anchor Tenant Name;Asset Source;Marketable Flag;Asset Class;Asset Type;Site Type;Constructed Date;Acquired Date;Tenant Ready Date;Non Marketable Reason;Site Created On Date;Building Height Asset;Total Height;Structure Height;Tower Extended Flag;Structure Type;Reinforcement Flag;Access Instructions;Building Height;Cliente 1;Cliente 2;Cliente 3;Cliente 4;Cliente 5;Cliente 6;Cliente 7;Cliente 8;Cliente 9;Cliente 10;Cliente 11;Cliente 12;Cliente 13;Cliente 14;Estacao
1;C;Active;AC;Rio Branco;AVENIDA BRASIL  378  CENTRO RIO BRANCO;-10,075649;-67,055576;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;0;60;60;N;Self Support;N;;0;;;;;;;X;;;;;X;X;;682913979
2;A;Active;AC;Rio Branco;RODOVIA AC 40 S/N KM 2  TRIANGULO RIO BRANCO;-11,01389;-68,74778;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:16;;;80;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;682913995
3;C;Active;AC;Rio Branco;ESTRADA DIAS MARTINS  1127  DISTRITO INDUSTRIAL RIO BRANCO;-11,010561;-68,744678;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:18;;;70;N;Self Support;N;;;;;;;;;;;;;;X;X;;683022725
4;C;Active;AC;Rio Branco;AVENIDA CEARÁ 2849  CENTRO RIO BRANCO;-9,822075;-67,94823888;Vivo;Built;Y;Wireless;Tower;;09/08/2015;;08/09/2015;;19/10/2015 21:53;0;40;40;N;Self Support;N;;0;;;;;;;;;;;;;X;;683324705
5;C;Active;AC;Brasiléia;RUA ANTONIO RIBEIRO,108,CENTRO;-9,830078;-67,952756;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;50;N;Self Support;N;;;;;;;;;;;;;;X;;;684498227
6;D;Active;AC;Rio Branco;RUA LUIZ GONZAGA S/N  SAO FRANCISCO RIO BRANCO;-7,62122088;-72,67049042;Vivo;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:25;;;79.02;N;Self Support;N;Autorização Regional Vivo;;;;;;;;X;;;;;;X;;684498235
7;C;Active;AC;Rio Branco;RUA 07,S/N,ESTACAO EXPERIMENTAL;-7,6323277;-72,6697793;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;0;50;50;N;Self Support;N;;0;;;;;;;;;;;;X;;;684498243
8;D;Active;AC;Sena Madureira;RUA MARANHAO,S/N,COHAB;-7,58816518;-72,75104617;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;08/31/2012;08/31/2012;31/08/2012;;19/10/2015 20:46;;;50;N;Self Support;N;;;;X;;;;;;;;;;;X;;684498251
9;C;Active;AC;Cruzeiro do Sul;RUA 17 DE NOVEMBRO,94,MORRO DA GLORIA;-7,6053064;-72,6838055;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;0;60;60;N;Self Support;N;;0;;X;;;;;;;;;;X;X;;684570947
10;C;Active;AC;Cruzeiro do Sul;RUA JOSE ITAMAR SANTIAGO LT.22 ,S/N,AEROPORTO VELHO;-11,02378802;-68,74770503;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/24/2007;;24/11/2007;;19/10/2015 19:53;0;70;70;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;X;;684577283
11;C;Active;AC;Bujari;RUA GERALDO MESQUITA S/N  CENTRO BUJARI;-10,90505;-68,56313333;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;05/10/2016;;10/05/2016;;02/03/2016 11:52;0;80;80;;Self Support;;;0;;;;;;;;;;;;;X;;684779285
