text,polarity
"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",positive
I won't go back unless someone else is footing the bill.,negative
There are so many better places to visit!,negative
This place is a must visit!,positive
but the service was a bit slow.,positive
amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!,positive
Leave room for dessert.,positive
I've been many time and have never been disappointed.,positive
"Personally I like the margherita pizza better, but they are all good.",positive
I'm astonished that this restaurant is categorized as $$$ rather than $$$$.,negative
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,positive
Decor needs to be upgraded but the food is amazing!,positive
There is no excuse for such lousy service!,negative
Sunday afternoons there is a band playing and it is lots of fun.,positive
This is the case at this gem.,positive
I'm saving up for my next visit.,positive
Can't wait to go back.,positive
We all agreed that mare is one of the best seafood restaurants in New York.,positive
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,positive
Not sure if I would go back.,negative
I'd go back there in a heartbeat.,positive
"Price is high but the food is good, so I would come back again.",positive
"On that scale, it's a world-beater.",negative
I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,positive
Keep up the good work guys!,positive
Loved it!,positive
The pizza’s are not huge and the crust is thin…keep that in mind when you’re ordering.,negative
"However, this place is a gem, and I won't stop going back.",positive
Priced at upper intermediate range.,negative
I though it was expensive and I prefer Bella Via just blocks away by far.,negative
Very disappointed.,negative
What more could you want?,positive
This place is always very crowded and popular.,positive
"Overall, decent food at a good price, with friendly people.",positive
"I am so coming back here again, as much as I can.",positive
Have been several times and it never dissapoints.,positive
Go there to relax and feel like your somewhere else.,positive
Price no more than a Jersey deli but way better.,positive
I will not go back.,negative
But Im sure this was just an honest mistake...,positive
"Skip this restaurant, it's a big disappointment.",negative
"You'll be ther for every anniversary, birthday, valentines day...",positive
wont come back again for sure!,positive
I've been to this restaurant over a dozen times with no complaints to date.,positive
We will be back.,positive
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",negative
Also a little more expensive than your average bagel place.,negative
"Oh, and there's hookah.",positive
Best Taiwanese food in NY!,positive
Love YUKA.,positive
Save yourself the time and trouble and skip this one!,negative
I recommend it for a night when you want to splurge! (it was a bit expensive),positive
I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,negative
"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",positive
I will definetly be going back.,positive
Need I say more?,positive
Stay away,negative
Very pleased,positive
"Overall, excellent restaurant!",positive
I just found out that you can have the place to yourself on nights and weekends for a private party - can't wait to celebrate my next birthday there.,positive
"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",positive
Will not be back.,negative
"Untill this happens, my advice is to STAY AWAY.",negative
Believe it baby!,positive
Worth the trip from Manhattan.,positive
Amazing!,positive
"The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol",positive
"Great food, spectacular location, and friendly service keep us coming back year after year.",positive
"That place was awesome,,,  sally !",negative
Highly recommended.,positive
We're going back. :D,positive
I'm not even going to bother to describe it; it speaks for itself.,positive
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",negative
the food is always fresh ...,positive
"All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.",positive
Very good wine choices.,positive
"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",positive
Definitely a great spot for a nice occasion or date.,negative
And they packaged everything nicely so it didn't spill.,positive
Give it a try and enjoy.,positive
Highly recommended!,positive
"Oh, and the cheese fries are awesome!",positive
Try sushimi cucumber roll.,positive
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",negative
Shame on this place for the horrible rude staff and non-existent customer service.,negative
Food was good not great not worth the wait or another visit,negative
"Ruth, mother of the Bride",positive
